Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2027,1,4,2,1,2.0,1.0,10.0,1.0,1.0,3.0,12.0,6.0,1.0,1.0,3.0,9.0,1.0,2.0,1.0,6.0,4.0,9.0,1.0,
2028,1,4,2,1,4.0,4.0,71.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,
2029,2,1,2,2,3.0,1.0,2.0,1.0,1.0,1.0,6.0,9.0,1.0,2.0,2.0,14.0,9.0,1.0,10.0,1.0,1.0,2.0,,
2030,1,13,1,1,6.0,10.0,11.0,1.0,2.0,3.0,8.0,19.0,2.0,1.0,1.0,,,,,,,,,
2031,1,2,6,1,2.0,1.0,2.0,12.0,20.0,5.0,6.0,3.0,13.0,6.0,1.0,1.0,4.0,2.0,,,,,,
2032,1,1,6,14,7.0,1.0,2.0,8.0,10.0,2.0,24.0,3.0,8.0,1.0,,,,,,,,,,
2033,4,1,1,8,5.0,3.0,2.0,2.0,5.0,2.0,14.0,1.0,3.0,23.0,9.0,20.0,12.0,2.0,1.0,5.0,7.0,,,
2034,1,1,5,12,13.0,2.0,3.0,4.0,5.0,1.0,1.0,6.0,12.0,7.0,1.0,1.0,1.0,3.0,2.0,6.0,1.0,,,
2035,1,3,1,1,1.0,3.0,11.0,12.0,1.0,5.0,5.0,4.0,9.0,4.0,1.0,2.0,3.0,5.0,,,,,,
2036,2,1,7,3,3.0,3.0,2.0,2.0,7.0,11.0,8.0,9.0,2.0,5.0,4.0,3.0,6.0,1.0,5.0,1.0,1.0,,,
2037,1,1,2,5,2.0,38.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,
2038,2,1,3,3,1.0,1.0,43.0,1.0,29.0,2.0,4.0,7.0,5.0,2.0,1.0,,,,,,,,,
2039,5,1,8,13,31.0,6.0,9.0,1.0,4.0,7.0,2.0,,,,,,,,,,,,,
2040,4,1,4,2,4.0,2.0,58.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,
2041,1,2,1,1,1.0,11.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,12.0,1.0,9.0,8.0,1.0,1.0,3.0,1.0,1.0,,
2042,1,1,2,5,1.0,5.0,1.0,1.0,2.0,1.0,6.0,26.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0
2043,5,3,3,5,4.0,1.0,5.0,1.0,10.0,5.0,9.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,,
2044,4,5,2,2,2.0,5.0,1.0,1.0,1.0,4.0,11.0,2.0,3.0,3.0,17.0,27.0,11.0,4.0,1.0,1.0,5.0,,,
2045,1,2,4,3,3.0,2.0,1.0,1.0,22.0,1.0,13.0,4.0,2.0,4.0,1.0,6.0,3.0,4.0,,,,,,
2046,7,1,2,4,5.0,3.0,2.0,6.0,12.0,1.0,5.0,1.0,2.0,8.0,28.0,2.0,2.0,1.0,1.0,1.0,,,,
2047,1,11,2,1,1.0,2.0,1.0,1.0,4.0,13.0,3.0,1.0,38.0,1.0,1.0,8.0,7.0,1.0,,,,,,
2048,4,2,16,1,2.0,8.0,9.0,1.0,4.0,2.0,4.0,1.0,4.0,18.0,1.0,14.0,7.0,1.0,7.0,4.0,1.0,1.0,1.0,1.0
2049,3,5,5,15,7.0,2.0,2.0,2.0,1.0,7.0,1.0,16.0,1.0,3.0,16.0,4.0,2.0,1.0,17.0,1.0,1.0,,,
2050,2,1,2,1,2.0,2.0,1.0,26.0,2.0,11.0,2.0,1.0,3.0,5.0,15.0,1.0,1.0,1.0,1.0,3.0,,,,
2051,1,1,1,1,3.0,1.0,1.0,12.0,25.0,32.0,13.0,6.0,6.0,2.0,4.0,1.0,3.0,1.0,,,,,,
2052,1,2,1,2,4.0,1.0,3.0,2.0,6.0,2.0,5.0,4.0,37.0,15.0,7.0,2.0,11.0,4.0,1.0,3.0,1.0,4.0,1.0,
2053,8,4,19,1,13.0,29.0,21.0,3.0,2.0,1.0,,,,,,,,,,,,,,
2054,2,1,1,3,1.0,2.0,11.0,2.0,1.0,7.0,9.0,7.0,7.0,4.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,
2055,3,5,2,1,3.0,2.0,2.0,6.0,8.0,27.0,2.0,2.0,14.0,2.0,1.0,4.0,1.0,1.0,,,,,,
2056,3,1,1,4,6.0,1.0,7.0,15.0,2.0,23.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,1.0,,,,,
2057,1,2,3,3,5.0,13.0,13.0,1.0,2.0,4.0,16.0,2.0,11.0,5.0,3.0,3.0,3.0,1.0,,,,,,
2058,2,4,4,3,1.0,2.0,1.0,1.0,1.0,12.0,3.0,3.0,2.0,2.0,1.0,16.0,4.0,2.0,18.0,1.0,,,,
2059,2,3,1,4,2.0,4.0,2.0,8.0,3.0,10.0,5.0,40.0,,,,,,,,,,,,
2060,1,1,5,1,2.0,25.0,2.0,2.0,5.0,1.0,4.0,2.0,7.0,15.0,3.0,12.0,2.0,2.0,9.0,2.0,,,,
2061,1,3,1,1,5.0,20.0,22.0,17.0,15.0,1.0,2.0,2.0,2.0,5.0,,,,,,,,,,
2062,1,4,3,2,11.0,5.0,1.0,71.0,1.0,6.0,8.0,,,,,,,,,,,,,
2063,2,1,2,8,2.0,2.0,1.0,31.0,30.0,16.0,1.0,2.0,3.0,1.0,,,,,,,,,,
2064,1,1,5,1,5.0,1.0,4.0,1.0,18.0,25.0,14.0,1.0,8.0,4.0,,,,,,,,,,
2065,1,3,6,2,6.0,2.0,8.0,9.0,3.0,25.0,1.0,1.0,1.0,2.0,6.0,10.0,1.0,2.0,10.0,1.0,7.0,,,
2066,3,1,2,1,2.0,4.0,3.0,1.0,2.0,1.0,14.0,10.0,19.0,6.0,11.0,4.0,8.0,1.0,1.0,,,,,
2067,2,5,3,1,1.0,8.0,11.0,15.0,13.0,5.0,1.0,3.0,11.0,14.0,8.0,1.0,2.0,5.0,1.0,,,,,
2068,3,1,2,4,2.0,1.0,25.0,7.0,20.0,4.0,16.0,3.0,4.0,1.0,1.0,1.0,,,,,,,,
2069,4,4,1,1,3.0,3.0,1.0,3.0,5.0,2.0,1.0,2.0,7.0,15.0,2.0,6.0,2.0,6.0,2.0,4.0,2.0,3.0,2.0,1.0
2070,1,1,1,1,6.0,4.0,1.0,2.0,4.0,16.0,1.0,6.0,4.0,30.0,35.0,1.0,1.0,6.0,1.0,2.0,,,,
2071,1,1,1,1,4.0,1.0,12.0,1.0,44.0,1.0,19.0,8.0,1.0,1.0,,,,,,,,,,
2072,2,5,9,5,1.0,8.0,2.0,2.0,2.0,8.0,24.0,4.0,,,,,,,,,,,,
2073,1,1,4,1,1.0,3.0,8.0,51.0,3.0,1.0,1.0,6.0,,,,,,,,,,,,
2074,1,1,1,2,3.0,8.0,4.0,33.0,9.0,4.0,7.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,,,
2075,1,2,1,5,17.0,1.0,8.0,7.0,10.0,11.0,15.0,13.0,6.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0,,,,
2076,5,2,17,1,14.0,10.0,2.0,3.0,9.0,10.0,18.0,2.0,4.0,1.0,6.0,,,,,,,,,
2077,1,3,4,5,7.0,6.0,5.0,1.0,6.0,1.0,11.0,3.0,2.0,3.0,11.0,2.0,2.0,,,,,,,
2078,3,1,62,15,4.0,2.0,15.0,,,,,,,,,,,,,,,,,
2079,14,10,2,8,3.0,15.0,3.0,24.0,1.0,3.0,6.0,13.0,12.0,,,,,,,,,,,
2080,2,8,5,1,5.0,11.0,5.0,5.0,3.0,20.0,10.0,12.0,2.0,9.0,1.0,1.0,1.0,,,,,,,
2081,1,1,1,1,3.0,4.0,2.0,12.0,8.0,14.0,1.0,7.0,1.0,28.0,1.0,3.0,3.0,10.0,2.0,,,,,
2082,1,2,2,8,2.0,2.0,2.0,2.0,3.0,46.0,1.0,3.0,2.0,14.0,2.0,,,,,,,,,
2083,3,1,2,10,1.0,1.0,1.0,11.0,2.0,44.0,1.0,3.0,3.0,1.0,1.0,4.0,,,,,,,,
2084,1,2,3,1,3.0,7.0,2.0,12.0,2.0,1.0,7.0,10.0,5.0,5.0,4.0,8.0,6.0,2.0,2.0,4.0,3.0,,,
2085,1,12,87,10,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,
2086,2,1,3,5,3.0,1.0,21.0,16.0,1.0,5.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,1.0,,,,,,
2087,4,1,1,1,4.0,4.0,41.0,1.0,6.0,6.0,5.0,2.0,7.0,1.0,1.0,,,,,,,,,
2088,1,3,8,1,8.0,4.0,8.0,1.0,1.0,1.0,1.0,2.0,19.0,5.0,1.0,13.0,9.0,3.0,2.0,3.0,3.0,14.0,,
2089,2,2,3,1,1.0,3.0,7.0,6.0,17.0,3.0,1.0,1.0,3.0,4.0,,,,,,,,,,
2090,1,4,1,1,1.0,12.0,27.0,26.0,2.0,3.0,9.0,1.0,3.0,,,,,,,,,,,
2091,1,15,2,2,4.0,23.0,13.0,1.0,8.0,3.0,1.0,2.0,2.0,5.0,1.0,1.0,3.0,,,,,,,
2092,2,5,8,22,1.0,10.0,3.0,7.0,15.0,27.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,,,,
2093,4,1,3,2,1.0,1.0,1.0,12.0,1.0,15.0,3.0,10.0,2.0,2.0,6.0,1.0,9.0,4.0,1.0,,,,,
2094,9,1,1,2,1.0,2.0,5.0,5.0,19.0,1.0,8.0,3.0,5.0,7.0,9.0,5.0,5.0,3.0,1.0,4.0,3.0,3.0,,
2095,10,1,2,4,4.0,11.0,12.0,37.0,3.0,1.0,4.0,1.0,8.0,1.0,6.0,1.0,,,,,,,,
2096,1,19,3,11,1.0,11.0,20.0,15.0,1.0,3.0,2.0,7.0,1.0,1.0,1.0,,,,,,,,,
2097,1,17,1,11,3.0,1.0,8.0,8.0,2.0,1.0,3.0,2.0,3.0,5.0,25.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
2098,2,3,2,7,17.0,9.0,25.0,1.0,7.0,13.0,6.0,2.0,,,,,,,,,,,,
